,name,year,county,time,humans,seed,sheep,lynx,wolf,predators,popst,red_fox,north,east,habitat1,habitat2
1,Norrb,29,1,2,0.4,173,362,0.019,0.047,0.066,"43,887",3.1,1439,513,-5.108696594,-3.057622193
2,Vasterb,29,2,2,0.8,308,722,0.169,0.725,0.894,"49,994",12.4,1179,415,-5.309734561,-3.355977912
3,Jamt,29,3,2,0.8,262,1154,0.074,0.24,0.314,"42,225",2.5,976,222,-4.993817756,-2.887133211
4,Vastern,29,4,2,3.4,1184,2676,0.173,0.389,0.562,"78,421",17.7,962,387,-4.781058813,-2.548038063
5,Gavle,29,5,2,5.2,1439,4299,0,0.911,0.911,"102,736",12.4,756,336,-4.062374376,-1.464477498
6,Koppar,29,6,2,4.4,2156,3980,0.625,0.724,1.349,"134,820",4.7,696,221,-5.0056477,-2.88665074
7,Varm,29,7,2,8.9,4604,3728,2.166,2.166,4.332,"172,858",29.6,564,140,-3.511004297,-2.628673034
8,Upps,29,8,2,11.3,7687,8393,1.943,3.47,5.413,"81,742",10.1,588,422,3.657268978,-0.911660981
9,Vastml,29,9,2,13.5,6384,5317,1.663,4.082,5.745,"89,262",27.2,557,337,3.154624876,-0.893471208
10,Stock,29,10,2,27.2,8152,10250,0.295,2.651,2.946,"184,711",10.9,519,453,3.657268978,-0.911660981
11,Orebro,29,11,2,12.4,4633,5212,1.605,0.749,2.354,"116,255",24.8,499,254,1.462591827,-1.005609686
12,Soderml,29,12,2,16.4,5799,8602,1.968,3.633,5.601,"108,327",11.8,463,361,3.657268978,-0.911660981
13,Alvsb,29,14,2,16,9372,7321,0.081,2.422,2.503,"197,697",28.8,352,101,3.657268978,-0.911660981
14,Goteborg,29,15,2,29,12612,10358,0.752,2.631,3.383,"154,054",52.1,381,44,1.396316619,2.887332404
15,Ostergl,29,16,2,16.1,6942,5768,2.147,3.435,5.582,"187,609",57.6,375,302,3.657268978,-0.911660981
16,Kalmar,29,17,2,14.2,6410,7703,0.171,1.796,1.967,"165,743",64.4,237,323,3.657268978,-0.911660981
17,Jonk,29,18,2,12.8,7525,8702,2.242,1.681,3.923,"137,478",74.8,269,217,3.657268978,-0.911660981
18,Halland,29,19,2,15.6,11694,8285,0,0,0,"88,975",50.9,208,107,1.05374808,3.462937462
19,Kronob,29,20,2,11.5,5101,8334,2.121,2.651,4.772,"108,741",47.6,184,224,3.657268978,-0.911660981
20,Kristian,29,21,2,23.8,12504,11129,0,1.425,1.425,"150,372",56,103,170,-3.194101806,10.60044019
21,Blek,29,22,2,28.1,9979,10983,1.309,1.636,2.945,"85,734",133.5,120,263,2.835104484,0.469791159
22,Malmo,29,23,2,39.6,25891,11866,0,0,0,"200,103",26.5,58,136,-3.194101806,10.60044019
23,Norrb,30,1,3,0.4,173,362,0,0.16,0.16,"43,887",2.6,1439,513,-5.108696594,-3.057622193
24,Vasterb,30,2,3,0.8,308,722,0.337,1.096,1.433,"49,994",13.5,1179,415,-5.309734561,-3.355977912
25,Jamt,30,3,3,0.8,262,1154,0.055,0.37,0.425,"42,225",0.8,976,222,-4.993817756,-2.887133211
26,Vastern,30,4,3,3.4,1184,2676,0.216,0.26,0.476,"78,421",6.4,962,387,-4.781058813,-2.548038063
27,Gavle,30,5,3,5.2,1439,4299,1.62,1.265,2.885,"102,736",14.4,756,336,-4.062374376,-1.464477498
28,Koppar,30,6,3,4.4,2156,3980,0.263,0.395,0.658,"134,820",5.6,696,221,-5.0056477,-2.88665074
29,Varm,30,7,3,8.9,4604,3728,1.908,2.166,4.074,"172,858",30.6,564,140,-3.511004297,-2.628673034
30,Upps,30,8,3,11.3,7687,8393,0.971,2.637,3.608,"81,742",15.4,588,422,3.657268978,-0.911660981
31,Vastml,30,9,3,13.5,6384,5317,2.57,4.385,6.955,"89,262",26.2,557,337,3.154624876,-0.893471208
32,Orebro,30,11,3,12.4,4633,5212,2.462,1.712,4.174,"116,255",28.5,499,254,1.462591827,-1.005609686
33,Soderml,30,12,3,16.4,5799,8602,1.211,2.27,3.481,"108,327",17.6,463,361,3.657268978,-0.911660981
34,Alvsb,30,14,3,16,9372,7321,0.242,1.292,1.534,"197,697",28.4,352,101,3.657268978,-0.911660981
